Year;Occasion;Word;Option1;Option2;Option3;Option4;Option5;CorrectAnswer
2013;1;förlikning;omvandling;sammanbrott;uppgörelse;ursäkt;nedläggning;uppgörelse
2013;1;försagd;blyg;förbisedd;allvarlig;kritiserad;talför;blyg
2013;1;genmäla;återge;hindra;svara;anklaga;ersätta;svara
2013;1;in natura;utan tillsatser;med självklarhet;i annat värde än pengar;alltigenom äkta;i det fria;utan tillsatser
2013;1;kandera;skära upp kött;pryda med ljus;överdra med socker;steka på båda sidor;hälla upp vin;överdra med socker
2013;1;kanon;utvald samling;miniminivå;grundkurs;storgrupp;ouppnåeligt ideal;utvald samling
2013;1;karoten;grundämne;protein;giftämne;växtfiber;färgämne;färgämne
2013;1;makulatur;äldre upplaga;manuskript;ogranskat textmaterial;kasserade trycksaker;arkiverad årgång;kasserade trycksaker
2013;1;naiv;påhittig;rådlös;busig;godtrogen;motsträvig;godtrogen
2013;1;oavvänt;igenkännande;oupphörligt;från rätt sida;överlägset;fientligt;oupphörligt
2013;1;piccolo;skoputsare;barnflicka;mattknytare;hotellpojke;cykelbud;hotellpojke
2013;1;profan;världslig;förenklad;obetydlig;sorglös;angenäm;världslig
2013;1;äntra;slingra sig runt;få att välta;hålla sig fast;ta sig upp på;gå och driva;ta sig upp på
2013;2;ackumulation;tillvänjning;avskiljande;sammanställning;anhopning;uppvärmning;anhopning
2013;2;amnesti;påtryckning;försvar;uppskov;förbud;benådning;benådning
2013;2;aperitif;bakverk;garnering;fördrink;efterrätt;tilltugg;fördrink
2013;2;brådstörtat;tvärbrant;smärtsamt;djupgående;plötsligt;stressigt;plötsligt
2013;2;eminent;framstående;känslosam;erfaren;utåtriktad;enväldig;framstående
2013;2;estrad;teaterbyggnad;ljusramp;upphöjd plattform;sceningång;dansgolv;upphöjd plattform
2013;2;frimodig;rörlig;frågvis;hederlig;okritisk;rättfram;rättfram
2013;2;gestalta;fantisera;utforma;tyda;urskilja;fullborda;utforma
2013;2;hospitaliserad;inbillningssjuk;gästvänlig;läkemedelsberoende;väl mottagen;sjukhustillvänjd;sjukhustillvänjd
2013;2;kymig;barnslig;olustig;enformig;oärlig;märklig;olustig
2013;2;målsägande;domare;åtalad person;försvarsadvokat;brottsutsatt person;åklagare;brottsutsatt person
2013;2;oförskyllt;oförtjänt;oförlåtligt;osjälviskt;oförskämt;otacksamt;oförtjänt
2013;2;ordinera;förmana;konstatera;föreskriva;utskänka;fördela;föreskriva
2013;2;peang;klämma;tunn kniv;mätinstrument;liten sax;väggur;klämma
2013;2;prygla;strimla;hålla fast;hetsa;markera;spöa;spöa
2013;2;schabrak;grustag;mullrande ljud;nederlag;stort tygstycke;metallbygel;stort tygstycke
2013;2;subtilitet;finess;stolthet;upphöjdhet;påverkan;ersättning;finess
2013;2;upplåta;höja till skyarna;belöna;ställa till förfogande;belysa;uttrycka glädje;ställa till förfogande
2014;1;abonnera;leverera;göra tillgänglig;förhandsbeställa;komma överens;återbetala;förhandsbeställa
2014;1;algebra;räkning med heltal;huvudräkning;talserie;procenträkning;räkning med symboler;räkning med symboler
2014;1;antologi;textsamling;motsägelse;kulturstudie;folklivsforskning;kunskapsteori;textsamling
2014;1;avpollettera;avrunda;skicka iväg;undvika;glömma bort;avråda;skicka iväg
2014;1;delirium;raseriutbrott;svimningsanfall;förvirringstillstånd;besatthet;handlingsförlamning;förvirringstillstånd
2014;1;eutanasi;bedövning;självbehärskning;dödshjälp;balansrubbning;aptitlöshet;dödshjälp
2014;1;förorättad;angiven;bekymrad;missförstådd;sårad;tillrättavisad;sårad
2014;1;innevarande;omgiven;pågående;tillhörande;modern;vilande;pågående
2014;1;kaki;bränt lergods;modellteckning;turkisk maträtt;kortbyxor;sandfärgat tyg;sandfärgat tyg
2014;1;konventioner;sociala regler;nedskärningar;frågeställningar;svårigheter;oväntade effekter;sociala regler
2014;1;lamell;kägla;skiva;tygbit;frans;rulle;skiva
2014;1;oblat;marmorpelare;silverbricka;gammalt mynt;skuldebrev;nattvardsbröd;nattvardsbröd
2014;1;rationell;pålitlig;föränderlig;sparsam;lättbegriplig;förnuftig;förnuftig
2014;1;reminiscens;svag minnesbild;avkoppling;försynt anmärkning;tillåtelse;upprepad tillsägelse;svag minnesbild
2014;1;rundlig;riklig;måttlig;lämplig;tillräcklig;överskattad;riklig
2014;1;som en löpeld;ivrigt;smidigt;oavbrutet;livligt;snabbt;snabbt
2014;1;sporadiskt;på enklaste sätt;av en slump;vid enstaka tillfällen;av skilda slag;på ren impuls;vid enstaka tillfällen
2014;1;trojka;diktator;generalstab;departement;tremannavälde;domstol;tremannavälde
2014;2;allegori;grov överdrift;debattskrift;bildlig framställning;högtidstal;visdomsord;bildlig framställning
2014;2;bilateral;ömsesidig;jämställd;målinriktad;inofficiell;motstridig;ömsesidig
2014;2;de facto;för säkerhets skull;i själva verket;med ens;till varje pris;på inga villkor;i själva verket
2014;2;differentiera;dra ner på;bedöma;lista ut;avskärma;skapa variation i;skapa variation i
2014;2;domesticering;inavel;uppfostran;avvänjning;inlärning;tämjning;tämjning
2014;2;efterleva;förbättra;ångra;överta;följa;ersätta;följa
2014;2;fradga;rök;ånga;kyla;skum;vätska;skum
2014;2;förtrytelse;förargelse;förskräckelse;förakt;förtvivlan;förvirring;förargelse
2014;2;genmäle;eko;svar;utrop;fråga;påstående;svar
2014;2;konferera;värdera;bekräfta;överlägga;granska;komma överens;överlägga
2014;2;läckergom;skämtare;hedersman;snygging;finsmakare;charmör;finsmakare
2014;2;oboe;ödebygd;pelare;trädgårdsväxt;ädelsten;blåsinstrument;blåsinstrument
2014;2;retro-;ny;för;utåt;mot;tillbaka;tillbaka
2014;2;rådvill;målmedveten;oförnuftig;välmenande;obeslutsam;tankfull;obeslutsam
2014;2;spel för galleriet;hemliga förhandlingar;publikfrieri;offentlig vadslagning;repetition;exklusiv underhållning;publikfrieri
2014;2;sömndrucken;i djup sömn;som har stort sömnbehov;pigg och utvilad;som har försovit sig;omtöcknad av sömn;omtöcknad av sömn
2014;2;vinna gehör;bli framgångsrik;uppfatta tydligt;få medhåll;lyssna in;få en fördel;få medhåll
2014;2;välsituerad;rik;känd;tränad;artig;kunnig;rik
2015;1;absurd;ohållbar;orimlig;olämplig;olustig;osann;orimlig
2015;1;aktualitet;information;åsikt;principfråga;nyhet;allmänbildning;nyhet
2015;1;chimär;liten häst;inbillning;kodat meddelande;ljusfenomen;elegant herre;inbillning
2015;1;eklips;soluppgång;omloppsbana;stjärnfall;förmörkelse;spiralform;förmörkelse
2015;1;ensemble;föreställning;solosång;teatersalong;instrument;grupp;grupp
2015;1;ge upphov till;intyga;förändra;orsaka;uppmana;tillåta;orsaka
2015;1;hysa;behandla välvilligt;ge en tillsägelse;skämta med;ge husrum åt;passa upp;ge husrum åt
2015;1;inmundiga;sucka;äta;andas;bita;tystna;äta
2015;1;kontrastera;motarbeta;dra ihop;återkalla;säga emot;bilda motsats;bilda motsats
2015;1;krum;böjd;svag;grym;hård;kort;böjd
2015;1;kulmen;lägsta punkt;startskott;mittpunkt;slutskede;höjdpunkt;höjdpunkt
2015;1;provokation;utmaning;förnedring;hämnd;motstånd;hot;utmaning
2015;1;signalement;förklaring;underrättelse;varning;stämpel;beskrivning;beskrivning
2015;1;skimning;skuggning;bortsortering;kortbedrägeri;genomlysning;ytbehandling;kortbedrägeri
2015;1;snart sagt;så gott som;som väntat;vanligtvis;återkommande;i bästa fall;så gott som
2015;1;taktil;som beror på ärftliga faktorer;som avser känsel och beröring;som beror på hormonpåverkan;som avser ämnesomsättningen;som beror på miljöpåverkan;som avser känsel och beröring
2015;1;talg;skal;hud;fett;frö;hår;fett
2015;1;tirader;övernaturliga händelser;mångordiga yttranden;förutfattade meningar;genomskinliga lögner;tråkiga nyheter;mångordiga yttranden
2015;2;bifall;medverkan;synpunkt;tilltal;lydnad;samtycke;samtycke
2015;2;etsa sig in;blanda sig i;vänja sig vid;kämpa sig igenom;ta kontroll över;bränna sig fast;bränna sig fast
2015;2;exil;främlingskap;landsflykt;utegångsförbud;krigstillstånd;utvandring;landsflykt
2015;2;föreskrift;bestämmelse;intyg;förslag;inledning;överenskommelse;bestämmelse
2015;2;gastronomi;vältalighet;stjärntydning;finare matlagning;läkemedelslära;spådomskonst;finare matlagning
2015;2;hårdragen;obetydlig;långsökt;plågsam;finkänslig;svårsmält;långsökt
2015;2;i gåsmarsch;i rad;på rymmen;i rask takt;med jämna steg;under stök och bök;med jämna steg
2015;2;installation;invigning i ämbete;handläggning;inställd föreställning;positionsmarkering;inlärningsprocess;invigning i ämbete
2015;2;käbbla;reta;klaga;störa;härja;gräla;gräla
2015;2;lekamen;redskap;kropp;partikel;gräns;tecken;kropp
2015;2;lobotomi;blodanalys;skiktröntgen;tarmundersökning;hjärnoperation;ögonbehandling;hjärnoperation
2015;2;magnifik;högtidlig;förhärligad;överordnad;praktfull;förfinad;praktfull
2015;2;nisch;brytpunkt;avstickare;specialområde;alternativ;mönster;specialområde
2015;2;stipulerad;föråldrad;inspirerad;fastställd;rangordnad;förväntad;fastställd
2015;2;svartmåla;förtala;utmärka;förstöra;dölja;förfula;förtala
2015;2;undergräva;förbereda;missbedöma;avslöja;försvaga;etablera;försvaga
2015;2;uppfordrande;upprepande;utvärderande;uppmanande;utmärkande;upplysande;uppmanande
2015;2;valör;mängd;värde;standard;form;växel;värde
2016;1;alludera på;vänta på;fundera på;anspela på;se ner på;hoppas på;anspela på
2016;1;alter ego;andra jag;nya jag;sämre jag;rätta jag;gamla jag;andra jag
2016;1;bejakande;glädjande;bekräftande;längtande;granskande;bedjande;bekräftande
2016;1;bestyrka;intyga;tillägga;förbättra;inpränta;härda;intyga
2016;1;eftermäle;efterlysning;dålig kompromiss;klagomål;eftervärldens omdöme;korrigering;eftervärldens omdöme
2016;1;ellips;elektrisk laddning;sjukdomstillstånd;matematiskt bevis;planetformation;geometrisk figur;geometrisk figur
2016;1;florera;övertäcka;frodas;utsmycka;lyckas;gruppera;frodas
2016;1;gordisk knut;missförstånd;svårlöst uppgift;huvudfråga;svag punkt;förbannelse;svårlöst uppgift
2016;1;hippologi;läran om skelettet;läran om talmystik;läran om subkulturer;läran om bergarter;läran om hästar;läran om hästar
2016;1;kufisk;opålitlig;underlig;inställsam;ovänlig;egenkär;underlig
2016;1;med ens;som vanligt;plötsligt;likafullt;ständigt;allt eftersom;plötsligt
2016;1;målande;svepande;överdriven;fantasifull;bildskön;uttrycksfull;uttrycksfull
2016;1;nagga;utvidga;höja upp;gnaga;hugga tag i;fästa;gnaga
2016;1;ocker;att skicka bluffakturor;att muta makthavare;att göra oskälig vinst;att missbruka ett förtroende;att utnyttja insiderinformation;att göra oskälig vinst
2016;1;patina;åldrad yta;sirlig inristning;kort musikstycke;handsydda detaljer;tunn pappskiva;åldrad yta
2016;1;pseudointellektuell;självlärd person;skenbart bildad person;geniförklarad person;klassiskt skolad person;nytänkande person;skenbart bildad person
2016;1;puka;sångstil;dirigentplats;folkdans;slaginstrument;orgelpipa;slaginstrument
2016;1;svinn;frosseri;vårdslöshet;avkastning;struntsak;förlust;förlust
2016;2;anestesi;bedövning;frigörelse;raseriutbrott;färgblindhet;självplågeri;bedövning
2016;2;aspartam;blekmedel;fyllningsmaterial;lugnande medel;färgämne;sötningsmedel;sötningsmedel
2016;2;filantrop;människovän;hästtämjare;predikant;konstsamlare;växtförädlare;människovän
2016;2;futilitet;nödvändighet;förebild;utfyllnad;misstag;obetydlighet;obetydlighet
2016;2;gångbar;trolig;stadig;rörlig;säker;giltig;giltig
2016;2;i ottan;i morgon;tidigt;för det mesta;snart;i enrum;tidigt
2016;2;manierad;trög;modig;konstlad;begåvad;närgången;konstlad
2016;2;otidsenlig;konstant;otraditionell;försenad;omodern;evig;omodern
2016;2;permafrost;ständig tjäle;klimatförändring;snöfri vinter;glaciär i rörelse;bottenfrusen sjö;ständig tjäle
2016;2;prata bredvid mun;vilseleda någon;ljuga;försäga sig;härma;avbryta någon;försäga sig
2016;2;resonans;missljud;omtagning;återklang;motstånd;taktfasthet;återklang
2016;2;röja;utlösa;avslöja;förstöra;avfärda;undersöka;avslöja
2016;2;selektion;omval;förstahandsval;tillval;valbarhet;urval;urval
2016;2;simpa;fiskart;svampsort;blåsinstrument;huvudbonad;maträtt;fiskart
2016;2;spannmål;rotsaker;baljväxter;husmanskost;sädeskorn;mjölkprodukter;sädeskorn
2016;2;vanställa;föreställa;förfula;förnedra;förkasta;förhindra;förfula
2016;2;åtskilliga;mätbara;relaterade;bortvalda;rangordnade;många;många
2016;2;överlöpare;ryttare;förrädare;stolt person;inkräktare;kraftkarl;förrädare
2017;1;abrupt;oklart;konstigt;plötsligt;onormalt;kortvarigt;plötsligt
2017;1;anvisa;tilldela;påminna;tyda;åtfölja;driva;tilldela
2017;1;celiaki;glutenintolerans;syrebrist;blodförgiftning;halsinfektion;ryggmärgsskada;glutenintolerans
2017;1;deduktion;inverkan;skildring;upplägg;härledning;iakttagelse;härledning
2017;1;domän;nivå;område;rättighet;församling;ledarskap;område
2017;1;eskapism;storhetsvansinne;ödestro;självplågeri;lyckorus;verklighetsflykt;verklighetsflykt
2017;1;försitta;nöta;förbereda;dröja;gå över;missa;missa
2017;1;jämkning;betalning;avgörande;förbättring;genomgång;anpassning;anpassning
2017;1;kurage;respekt;ärlighet;disciplin;tapperhet;stolthet;tapperhet
2017;1;missunnsam;orättvis;anspråkslös;ovärdig;självcentrerad;ogenerös;ogenerös
2017;1;nischad;övertygad;nivågrupperad;instängd;specialiserad;nekad tillträde;specialiserad
2017;1;preferenser;något förutbestämt;förhoppningar;något man förmodar;förberedelser;något man föredrar;något man föredrar
2017;1;representera;motsvara;understödja;tillträda;introducera;medverka;motsvara
2017;1;skröna;tomt skryt;olöst mysterium;fantasifull berättelse;traditionell folkvisa;gammalt visdomsord;fantasifull berättelse
2017;1;svulstig;drömmande och poetisk;behaglig;alltför utsmyckad;högljudd;enformig och ointressant;alltför utsmyckad
2017;1;symtomatisk;förstärkande;övertygande;förklarande;kännetecknande;förlåtande;kännetecknande
2017;1;såta vänner;nära vänner;rika vänner;falska vänner;hemliga vänner;gemensamma vänner;nära vänner
2017;1;torgföra;förnedra;öppet uttrycka;sammanträda;kraftigt protestera;underhålla;öppet uttrycka
2017;1;ögonblickligen;för tillfället;utan dröjsmål;alldeles nyss;utan eftertanke;i förbifarten;utan dröjsmål
2017;2;essä;utkast;saga;skrivelse;dikt;uppsats;uppsats
2017;2;extremiteter;inre organ;ryggkotor;armar och ben;ledband;fina blodkärl;armar och ben
2017;2;följaktligen;naturligtvis;därför;säkert;ändå;verkligen;därför
2017;2;förlösa;reda ut;befria;skilja åt;avhjälpa;mjuka upp;befria
2017;2;illustrativ;idealisk;händelserik;skenbar;uppmärksammad;belysande;belysande
2017;2;klimakterium;befruktning;höjdpunkt;övergångsålder;miljöpåverkan;bakterieodling;övergångsålder
2017;2;koalition;överlämning;beslutsamhet;förhandling;sammanslutning;överensstämmelse;sammanslutning
2017;2;lektor;medeltida musikant;mått på acceleration;pensionerad militär;del av koordinatsystem;lärare vid högskola;lärare vid högskola
2017;2;oförrätt;olycksfall;kränkning;osanning;bestraffning;missbedömning;kränkning
2017;2;parlör;rådgivare;förförare;liten ordbok;missöde;föredragshållare;liten ordbok
2017;2;rugga;ömsa skinn;förpuppas;byta fjädrar;kläckas;få vinterpäls;byta fjädrar
2017;2;superlativer;löften;böner;tillägg;beröm;argument;beröm
2017;2;sömsmån;osynlig söm;mönsterpassning;tygkant utanför söm;löst sydda stygn;valbar söm på symaskin;tygkant utanför söm
2017;2;tongivande;artig;idérik;pålitlig;ledande;övertygande;ledande
2017;2;utblottad;utfrusen;generad;smutskastad;ruinerad;avklädd;ruinerad
2017;2;åthutning;tillrättavisning;kraftigt ryck;avståndstagande;hård örfil;beskyllning;tillrättavisning
2017;2;överpröva;föra till högre instans;upprepa ett experiment;få någon ur balans;utvidga ett statistiskt urval;förlänga en tjänst;föra till högre instans
2018;1;anspråkslös;utfattig;förstummad;obildad;förminskad;blygsam;blygsam
2018;1;arla;klart;tidigt;vackert;enkelt;svalt;tidigt
2018;1;asymmetrisk;föränderlig;olikformig;avvikande;missformad;oförenlig;olikformig
2018;1;avhandla;beställa;rådfråga;diskutera;meddela;prestera;diskutera
2018;1;begrundan;övertygelse;synsätt;uppskattning;kunskap;eftertanke;eftertanke
2018;1;fonologi;läran om språkljuden;läran om talekonsten;läran om dialekterna;läran om skriftspråken;läran om tryckkonsten;läran om språkljuden
2018;1;fontanell;befruktad äggcell;del av struphuvud;salivutsöndrande körtel;mjukt ställe mellan skallben;skada på synnerv;mjukt ställe mellan skallben
2018;1;gemene man;nära släkting;finare sällskap;känd person;folk i allmänhet;ondsint människa;folk i allmänhet
2018;1;generalisera;nyansera;förenkla;överdriva;förtala;tillämpa;förenkla
2018;1;haiku;tibetansk strupsång;orientalisk solodans;japansk diktform;karibisk segelfarkost;västafrikansk trumma;japansk diktform
2018;1;kallskänk;donation från en okänd;plats för tillredning av mat;känsla av övergivenhet;rituell överlämning av gåva;obehaglig överraskning;plats för tillredning av mat
2018;1;kommod;odlingsbänk;kräldjur;förrådsbyggnad;ytterplagg;badrumsmöbel;badrumsmöbel
2018;1;mani;vanesak;stark rädsla;inbillningssjuka;överdrivet intresse;nedstämdhet;överdrivet intresse
2018;1;okvädingsord;slagord;dialektord;skällsord;nonsensord;slangord;skällsord
2018;1;resonabel;tillförlitlig;rättvis;samstämmig;vettig;pratsam;vettig
2018;1;tunnsått;svagt;förminskande;glest;intetsägande;ojämnt;glest
2018;1;umbärlig;onödig;sällskaplig;varsam;bristfällig;omständlig;onödig
2018;1;utmäta;ta i beslag;kritiskt granska;portionera ut;värdesätta;jämföra sig med;ta i beslag
2018;2;avart;orättvis kritik;falskt rykte;tung börda;snabbt slut;sämre variant;sämre variant
2018;2;blott;endast;nästan;öppet;svagt;enkelt;endast
2018;2;dubier;glädjeämnen;tvivel;rikedomar;sorger;förhoppningar;tvivel
2018;2;enahanda;ensam;enväldig;enig;enformig;enkel;enformig
2018;2;febril;lugn;envis;målinriktad;konstig;hektisk;hektisk
2018;2;försumma;lista ut;missunna;sammanfatta;strunta i;avlägsna;strunta i
2018;2;inkonsekvens;tveksamhet;självmotsägelse;taktlöshet;missförhållande;inblandning;självmotsägelse
2018;2;inskränkt;fokuserad;utesluten;begränsad;ihopslagen;invecklad;begränsad
2018;2;kokettera;göra sig intressant;skämma ut sig;umgås förtroligt;ta hand om sig;göra upp planer;göra sig intressant
2018;2;kurant;glad;kraftig;syrlig;kvicktänkt;frisk;frisk
2018;2;mausoleum;gravbyggnad;kyrkoarkiv;slottsruin;pelargång;vapenförråd;gravbyggnad
2018;2;moralisera;ta ställning för något;uppmuntra;följa regler;godkänna;predika rätt och fel;predika rätt och fel
2018;2;puritan;filosof;enstöring;renlevnadsmänniska;bedragare;överstepräst;renlevnadsmänniska
2018;2;på måfå;oaktsamt;vanemässigt;fumligt;slumpmässigt;tankspritt;slumpmässigt
2018;2;signum;framtoning;klartecken;särmärke;föreskrift;täcknamn;särmärke
2018;2;skenrättegång;utdragen rättegång;rättegång utan domare;direktsänd rättegång;rättegång avgjord på förhand;snabb rättegång;rättegång avgjord på förhand
2018;2;uppsjö;positiv trend;motstånd;stor mängd;variation;oväntad ökning;stor mängd
2018;2;vara under uppsegling;närma sig;vara bevakad;vänta på sin tur;vara på sin vakt;lära sig;närma sig
2019;1;elementa;dammpartiklar;grundkunskaper;vågrörelser;förenklingar;väderfenomen;grundkunskaper
2019;1;exponera;överdriva;utsätta;företräda;utarma;överlägga;utsätta
2019;1;feromoner;smaksättare;nässeldjur;slingerväxter;näringspreparat;doftämnen;doftämnen
2019;1;fullvärdig;fullblodig;fullgod;fullbordad;fullärd;fullmogen;fullgod
2019;1;förpassa;planera;skylla på;prova ut;skicka bort;varna;skicka bort
2019;1;grift;gåva;tunnel;inhägnad;borgruin;grav;grav
2019;1;habil;duglig;modern;artig;långsam;farlig;duglig
2019;1;kandelaber;soppskål;festtåg;bakverk;kyrkorum;ljusstake;ljusstake
2019;1;kognition;motoriska egenskaper;formuleringskonst;känslomässiga uttryck;överlevnadsinstinkt;intellektuella funktioner;intellektuella funktioner
2019;1;med råge;framför allt;i stort sett;med eftertryck;på rätt sätt;väl tilltaget;väl tilltaget
2019;1;mota;avstå;bråka;förbjuda;stoppa;välkomna;stoppa
2019;1;oförvanskad;oförbätterlig;uppenbar;ofördärvad;innehållslös;otvetydig;ofördärvad
2019;1;plagiat;draghjälp;förändring;missbruk;efterapning;tillägg;efterapning
2019;1;polyglott;fantasifull;rakryggad;öppenhjärtig;flerspråkig;allsidig;flerspråkig
2019;1;regenerera;återfinna;återbilda;återhämta;återkalla;återberätta;återbilda
2019;1;resning;diskussion;varning;omprövning;domslut;ställningstagande;omprövning
2019;1;solidaritet;starkt ledarskap;aktivt motstånd;uppskattad insats;självvald isolering;känsla av samhörighet;känsla av samhörighet
2019;1;uppsåt;impuls;avsikt;drivkraft;tillsyn;innebörd;avsikt
2019;2;alster;verk;insekt;princip;redskap;fält;verk
2019;2;arrogant;irriterande;överlägsen;utlämnande;avvisande;motstridig;överlägsen
2019;2;cysta;broskskiva;inre blödning;tarmficka;vätskefylld blåsa;muskelbristning;vätskefylld blåsa
2019;2;handfallen;ledsen;förälskad;rådlös;längtansfull;praktisk;rådlös
2019;2;hämma;neka;hindra;dölja;tystna;fördöma;hindra
2019;2;instans;beslutsnivå;närvaro;grundprincip;kännetecken;betänketid;beslutsnivå
2019;2;kartlägga;arrangera;lägga grund för;systematiskt utforska;pussla ihop;förbereda;systematiskt utforska
2019;2;kommission;domstolsjury;utlandstjänst;grupp av sakkunniga;intresseförening;handelsbolag;grupp av sakkunniga
2019;2;legering;nedbantning;förgasning;värmebehandling;färgning;metallblandning;metallblandning
2019;2;marginaliserad;upprepad;förlorad;hjälplös;föråldrad;åsidosatt;åsidosatt
2019;2;petitess;hemlighet;skrivelse;önskemål;avvikelse;obetydlighet;obetydlighet
